type,note(s),duration_type,duration_quarterLength,offset
note,E5,16th,0.25,92.25
note,F5,eighth,1/3,92.5
note,F#5,16th,0.25,93.0
note,E6,16th,0.25,281/3
note,A5,16th,0.25,94.0
note,F#5,16th,0.25,94.25
note,C5,16th,0.25,94.5
note,G#4,16th,0.25,94.75
note,E5,16th,0.25,95.0
note,A4,16th,0.25,95.25
note,F5,16th,0.25,95.5
note,F#5,16th,0.25,95.75
note,C5,16th,0.25,96.0
chord,"G#5,F6",16th,0.25,96.75
chord,"G#5,F6",16th,0.25,97.0
chord,"B5,F#6",16th,0.25,97.25
chord,"G#5,F6",16th,0.25,97.5
chord,"E5,C#6",eighth,0.5,99.0
chord,"F#5,D6",eighth,0.5,99.5
chord,"C#5,A5",eighth,0.5,100.0
chord,"E5,C#6",16th,0.25,100.5
chord,"D5,B5,E5,C#6",16th,0.25,100.75
chord,"C#5,B5",16th,0.25,101.0
chord,"D5,B5",16th,0.25,101.25
chord,"E5,C#6",16th,0.25,101.5
chord,"B4,G#5",16th,0.25,101.75
chord,"D5,B5",eighth,0.5,102.0
chord,"C#5,A5",16th,0.25,102.75
chord,"C#5,A5",16th,0.25,103.0
chord,"C#5,G#5",16th,0.25,103.25
chord,"D5,E5",eighth,0.75,103.5
chord,"B4,E5",16th,0.25,104.25
chord,"B4,E5",16th,0.25,104.5
chord,"C5,E5",16th,0.25,104.75
chord,"C#5,E5",quarter,1.0,105.0
chord,"D5,F#5",16th,0.25,106.0
chord,"A4,C#5",16th,0.25,106.25
chord,"G#4,C#5",16th,0.25,106.5
chord,"B4,D5",16th,0.25,106.75
chord,"B4,D5,C#5,E5",16th,0.25,107.0
chord,"B4,C#5",16th,0.25,107.25
chord,"B4,D5",16th,0.25,107.5
chord,"G#4,B4",16th,0.25,108.0
chord,"A4,C#5",eighth,0.5,108.5
chord,"C#5,A5",quarter,1.0,109.0
chord,"C#5,A5",eighth,0.5,110.0
chord,"C#5,A5",eighth,0.5,110.5
note,G#5,eighth,0.5,111.0
note,A5,eighth,0.75,111.5
note,G#5,16th,0.25,112.25
note,F#5,eighth,0.5,112.5
note,F#5,16th,0.25,113.0
note,E5,16th,0.25,113.25
note,G#5,16th,0.25,113.5
chord,"C5,E5",16th,0.25,113.75
chord,"E5,F#5",quarter,2/3,114.0
chord,"E5,C#6",16th,0.25,115.0
chord,"G#5,B5",16th,0.25,115.25
chord,"E5,G#5",16th,0.25,115.5
chord,"A4,G#5",16th,0.25,115.75
chord,"B4,G#5",16th,0.25,116.0
chord,"B4,G#5",16th,0.25,116.25
chord,"C#5,G#5",16th,0.25,116.5
chord,"E5,G#5",16th,0.25,116.75
chord,"F5,G#5",16th,0.25,117.0
note,B5,16th,0.25,117.5
chord,"F#5,G#5",eighth,0.5,118.0
chord,"F#5,E6",16th,0.25,118.5
chord,"E5,G#5",eighth,0.5,119.0
chord,"E5,G#5",eighth,0.5,119.5
note,G#5,quarter,1.0,120.0
note,F#5,eighth,0.5,121.0
chord,"E5,F#5",16th,0.25,122.0
chord,"E5,F#5",16th,0.25,122.5
chord,"B4,E5,F#5",eighth,0.5,123.0
note,F#5,16th,0.25,123.5
note,D6,16th,0.25,124.75
note,E6,16th,0.25,125.0
note,A5,16th,0.25,125.25
note,F5,16th,0.25,125.5
note,D5,16th,0.25,125.75
chord,"A4,E5,F#5",eighth,0.5,126.0
note,F#5,16th,0.25,126.5
note,D6,16th,0.25,127.75
note,E6,16th,0.25,128.0
note,G#5,16th,0.25,128.25
note,F5,16th,0.25,128.5
note,D5,16th,0.25,128.75
chord,"A4,E5,F#5",eighth,0.5,129.0
note,F#5,16th,0.25,129.5
chord,"A4,C#5,F#5",eighth,0.5,130.5
note,F#5,16th,0.25,131.0
chord,"A4,C5,F#5",eighth,0.5,131.5
note,F#6,eighth,0.5,132.0
note,F#6,16th,0.25,132.5
note,E6,16th,0.25,132.75
note,F#5,16th,0.25,133.0
note,E6,16th,0.25,133.25
note,C#6,16th,0.25,133.5
note,C6,16th,0.25,133.75
note,B5,16th,0.25,134.0
note,A5,16th,0.25,134.25
note,G#5,16th,0.25,134.5
note,F#5,16th,0.25,134.75
note,F5,quarter,1.5,135.0
note,E5,eighth,0.5,136.5
note,C#5,eighth,0.75,137.0
note,F4,16th,0.25,137.75
note,G#4,half,2.0,138.0
note,C#5,eighth,0.5,140.0
note,F5,eighth,0.5,140.5
note,B5,half,5/3,141.0
note,G#5,16th,0.25,142.75
note,E5,16th,0.25,143.0
note,F5,16th,0.25,143.25
note,C5,16th,0.25,143.5
note,C#5,16th,0.25,143.75
note,B4,half,3.0,144.0
note,B5,quarter,1.5,147.0
