type,note(s),duration_type,duration_quarterLength,offset
chord,"A4,E5,A5",half,2.0,414.0
chord,"B4,C#5,B5",half,2.0,416.0
chord,"C#4,F4,B4",half,2.0,418.0
chord,"B4,B5",half,2.0,420.0
chord,"B3,F#4,B4",half,2.0,422.0
chord,"C#5,C#6",half,2.0,424.0
chord,"C#4,G#4,C#5",half,2.0,426.0
chord,"C#5,C#6",half,2.0,428.0
chord,"F#3,A3,C#4",half,2.0,430.0
chord,"C#5,A5,C#6",half,2.0,432.0
chord,"F#3,A3,C#4",half,2.0,434.0
chord,"C#5,A5,C#6",half,2.0,436.0
chord,"F#3,A3,C#4",half,2.0,438.0
chord,"D5,A5,D6",half,2.0,440.0
chord,"A3,D4",half,2.0,442.0
chord,"D5,A5,D6",half,2.0,444.0
chord,"A3,D4",half,2.0,446.0
chord,"D5,A5,D6",half,2.0,448.0
chord,"A3,D4",half,2.0,450.0
chord,"D5,A5,D6",half,2.0,452.0
chord,"A3,D4",eighth,0.5,454.0
chord,"D5,D6",eighth,0.5,454.5
chord,"D5,D6",eighth,0.5,455.0
chord,"D5,D6",eighth,0.5,455.5
chord,"D5,B5,D6",half,2.0,456.0
chord,"D5,C6,D6",half,2.0,458.0
chord,"D5,A5,D6",whole,4.0,460.0
chord,"D5,G#5,D6",half,2.0,464.0
chord,"G#3,D4",half,2.0,466.0
chord,"D5,G#5,D6",half,2.0,468.0
chord,"G#3,D4",half,2.0,470.0
chord,"D5,G#5,D6",half,2.0,472.0
chord,"G#3,D4",half,2.0,474.0
chord,"D5,G#5,D6",half,2.0,476.0
chord,"G#3,D4",half,2.0,478.0
chord,"G#3,D4",eighth,0.5,480.0
chord,"G#4,G#5",eighth,0.5,482.5
chord,"G#4,G#5",eighth,0.5,483.0
chord,"G#4,G#5",eighth,0.5,483.5
chord,"F4,F5",complex,2.5,484.0
chord,"G#4,G#5",eighth,0.5,486.5
chord,"G#4,G#5",eighth,0.5,487.0
chord,"G#4,G#5",eighth,0.5,487.5
chord,"F4,F5",complex,2.5,488.0
chord,"G#4,G#5",eighth,0.5,490.5
chord,"G#4,G#5",eighth,0.5,491.0
chord,"G#4,G#5",eighth,0.5,491.5
chord,"F4,F5",eighth,0.5,492.0
chord,"G#4,G#5",eighth,0.5,492.5
chord,"G#4,G#5",eighth,0.5,493.0
chord,"G#4,G#5",eighth,0.5,493.5
chord,"F4,F5",eighth,0.5,494.0
chord,"G#5,G#6",eighth,0.5,494.5
chord,"G#5,G#6",eighth,0.5,495.0
chord,"G#5,G#6",eighth,0.5,495.5
chord,"F5,F6",eighth,0.5,496.0
chord,"G5,G6",eighth,0.5,496.5
chord,"G5,G6",eighth,0.5,497.0
chord,"G5,G6",eighth,0.5,497.5
chord,"G5,E6,G6",half,2.0,498.0
chord,"G5,F6,G6",eighth,0.5,500.5
chord,"G5,F6,G6",eighth,0.5,501.0
chord,"G5,F6,G6",eighth,0.5,501.5
chord,"G5,D6,G6",whole,4.0,502.0
note,G4,eighth,0.5,506.5
note,G4,eighth,0.5,507.0
note,G4,eighth,0.5,507.5
note,E4,complex,5.0,508.0
note,C4,quarter,1.0,513.0
note,E4,quarter,1.0,514.0
note,G4,eighth,0.5,515.0
note,G4,eighth,0.5,515.5
note,D4,complex,2.5,516.0
note,F5,eighth,0.5,518.5
note,F5,eighth,0.5,519.0
note,F5,eighth,0.5,519.5
chord,"F4,G4,D5",complex,2.5,520.0
note,G5,eighth,0.5,522.5
note,G5,eighth,0.5,523.0
note,F5,eighth,0.5,523.5
note,E5,half,2.0,524.0
note,D5,eighth,0.5,526.0
note,G5,eighth,0.5,526.5
note,G5,eighth,0.5,527.0
note,F5,eighth,0.5,527.5
chord,"C5,E5",half,2.0,528.0
note,D5,eighth,0.5,530.0
note,G5,eighth,0.5,530.5
chord,"G5,C5",eighth,0.5,531.0
chord,"F5,D5",eighth,0.5,531.5
note,E5,half,2.0,532.0
note,C5,half,2.0,534.0
note,G5,half,2.0,536.0
note,F5,quarter,1.0,538.0
note,E5,quarter,1.0,539.0
note,D5,half,2.0,540.0
note,E5,16th,0.25,542.0
note,D5,16th,0.25,542.25
note,C5,16th,0.25,542.5
note,D5,16th,0.25,542.75
note,F5,quarter,1.0,543.0
note,E5,quarter,1.0,544.0
note,D5,quarter,1.0,545.0
note,G#4,eighth,0.5,546.5
note,G#4,eighth,0.5,547.0
note,G#4,eighth,0.5,547.5
note,F4,whole,6.0,548.0
chord,"C4,E4,G3",eighth,0.5,554.0
note,G#4,eighth,0.5,554.5
note,G#4,eighth,0.5,555.0
note,G#4,eighth,0.5,555.5
chord,"D4,F4",complex,4.5,556.0
chord,"D4,F4,B4",eighth,0.5,560.5
chord,"D4,F4,B4",eighth,0.5,561.0
chord,"D4,F4,B4",eighth,0.5,561.5
chord,"E4,C5",eighth,0.5,562.0
chord,"E4,G4",eighth,0.5,562.5
chord,"E4,C5",eighth,0.5,563.0
chord,"E4,C5",eighth,0.5,563.5
chord,"D4,F4",complex,2.5,564.0
chord,"F4,G#4,B4",eighth,0.5,566.5
chord,"F4,G#4,B4",eighth,0.5,567.0
chord,"F4,D5",eighth,0.5,567.5
chord,"E4,G4",complex,2.5,568.0
chord,"E4,G4,C5",eighth,0.5,570.5
chord,"E4,G4,C5",eighth,0.5,571.0
