G,D,A,E,Fb,B,Cb,F#,C#,Db,G#,Ab,D#,Eb,A#,Bb,E#,F,B#,C
#4c0b05,#4b1c03,#4b2d00,#4b3d07,#4b3d07,#4c4c0f,#4c4c0f,#35400f,#1e340f,#1e340f,#0f252d,#0f252d,#001517,#001517,#140a40,#140a40,#280034,#280034,#3a061c,#3a061c
#98170a,#973906,#965b01,#977a0f,#977a0f,#98981e,#98981e,#6a811e,#3d691e,#3d691e,#1f4a5b,#1f4a5b,#012a2e,#012a2e,#281580,#281580,#500069,#500069,#740c39,#740c39
#e42310,#e25609,#e18901,#e2b717,#e2b717,#e4e42d,#e4e42d,#a0c12d,#5b9e2d,#5b9e2d,#2e6f88,#2e6f88,#013f46,#013f46,#3d20c0,#3d20c0,#78009d,#78009d,#ae1256,#ae1256
#fe2712,#fc600a,#fb9902,#fccc1a,#fccc1a,#fefe33,#fefe33,#b2d732,#66b032,#66b032,#347c98,#347c98,#02474e,#02474e,#4424d6,#4424d6,#8601af,#8601af,#c21460,#c21460
#fe6759,#fc8f53,#fcb74d,#fcdb5e,#fcdb5e,#fefe70,#fefe70,#c9e36f,#93c76f,#93c76f,#70a3b6,#70a3b6,#4d7e83,#4d7e83,#7c65e2,#7c65e2,#aa4dc7,#aa4dc7,#d45a8f,#d45a8f
#fea8a0,#fdbf9d,#fdd699,#fdeaa3,#fdeaa3,#fefead,#fefead,#e0efad,#c1dfad,#c1dfad,#adcad5,#adcad5,#99b5b8,#99b5b8,#b4a7ee,#b4a7ee,#ce99df,#ce99df,#e6a1bf,#e6a1bf
#fee9e7,#feefe6,#fef4e5,#fef9e8,#fef9e8,#fefeea,#fefeea,#f7fbea,#eff7ea,#eff7ea,#eaf1f4,#eaf1f4,#e5eced,#e5eced,#ece9fa,#ece9fa,#f2e5f7,#f2e5f7,#f8e7ef,#f8e7ef
