[141, 134, 20]
[127, 126, 34]
[56, 55, 51]
[14, 11, 18]
[39, 76, 128]
[183, 143, 21]
[117, 28, 0]
[188, 142, 7]
[204, 99, 0]
[209, 145, 39]
[187, 150, 69]
[173, 145, 61]
[156, 132, 24]
[217, 145, 27]
[206, 139, 8]
[139, 122, 6]
[48, 91, 160]
[171, 160, 68]
[33, 36, 41]
[3, 4, 9]
[28, 32, 44]
[93, 79, 79]
[173, 127, 16]
[26, 38, 28]
[133, 66, 24]
[20, 11, 4]
[148, 115, 0]
[146, 102, 27]
[21, 21, 19]
[12, 46, 32]
[142, 125, 95]
[12, 16, 15]
[144, 133, 17]
[134, 130, 22]
[38, 39, 44]
[23, 14, 15]
[91, 129, 174]
[189, 151, 28]
[200, 163, 31]
[130, 63, 8]
[207, 96, 6]
[202, 125, 0]
[200, 155, 100]
[187, 146, 56]
[153, 134, 16]
[140, 70, 11]
[224, 157, 8]
[152, 132, 45]
[98, 106, 91]
[213, 210, 167]
[5, 8, 13]
[7, 8, 13]
[33, 42, 51]
[29, 0, 0]
[125, 108, 26]
[49, 51, 40]
[45, 30, 11]
[33, 29, 18]
[42, 41, 37]
[16, 15, 11]
[22, 26, 9]
[22, 31, 30]
[9, 15, 13]
[11, 15, 16]
[125, 122, 41]
[135, 125, 10]
[42, 30, 34]
[21, 29, 52]
[105, 143, 190]
[213, 182, 66]
[197, 159, 22]
[180, 151, 11]
[220, 107, 13]
[201, 124, 0]
[225, 170, 87]
[210, 164, 17]
[146, 92, 6]
[147, 155, 168]
[224, 151, 0]
[147, 90, 11]
[90, 82, 59]
[82, 93, 61]
[8, 8, 16]
[59, 60, 64]
[22, 29, 35]
[47, 16, 11]
[177, 145, 34]
[33, 32, 28]
[17, 12, 9]
[106, 85, 54]
[20, 25, 19]
[12, 17, 20]
[31, 44, 24]
[15, 21, 21]
[11, 23, 23]
[29, 30, 32]
[161, 151, 0]
[146, 135, 27]
[89, 87, 98]
[54, 61, 87]
[102, 152, 205]
[169, 147, 12]
[189, 145, 22]
[146, 136, 25]
[209, 104, 23]
[207, 142, 24]
[221, 182, 27]
[176, 157, 78]
[59, 56, 49]
[190, 195, 165]
[225, 167, 31]
[24, 22, 10]
[149, 117, 6]
[34, 41, 85]
[33, 46, 63]
[26, 25, 31]
[116, 84, 33]
[35, 21, 20]
[177, 151, 41]
[33, 35, 30]
[7, 19, 9]
[101, 72, 28]
[16, 14, 15]
[20, 27, 20]
[32, 39, 31]
[6, 15, 12]
[10, 18, 20]
[26, 30, 31]
[176, 160, 5]
[122, 116, 6]
[53, 44, 49]
[25, 28, 47]
[104, 150, 199]
[175, 156, 28]
[175, 141, 15]
[125, 126, 24]
[203, 105, 16]
[200, 132, 0]
[184, 153, 10]
[179, 158, 103]
[79, 85, 71]
[199, 187, 171]
[223, 163, 17]
[27, 11, 0]
[106, 131, 125]
[97, 133, 159]
[64, 80, 53]
[116, 157, 175]
[189, 155, 45]
[29, 15, 14]
[179, 148, 21]
[74, 70, 25]
[64, 59, 56]
[90, 77, 58]
[8, 8, 6]
[10, 14, 15]
[31, 40, 35]
[14, 26, 26]
[17, 27, 28]
[38, 42, 41]
[186, 165, 14]
[171, 147, 25]
[29, 32, 37]
[39, 44, 64]
[97, 148, 203]
[124, 128, 33]
[164, 137, 4]
[133, 127, 13]
[105, 96, 91]
[214, 148, 12]
[221, 172, 51]
[83, 80, 75]
[69, 43, 16]
[96, 49, 0]
[176, 86, 0]
[201, 213, 199]
[105, 109, 48]
[177, 198, 191]
[111, 148, 164]
[94, 108, 109]
[158, 116, 8]
[48, 48, 48]
[188, 156, 19]
[127, 111, 13]
[75, 82, 74]
[46, 50, 36]
[13, 26, 19]
[11, 26, 21]
[13, 25, 21]
[9, 21, 21]
[7, 18, 20]
[46, 50, 53]
[202, 175, 24]
[211, 188, 48]
[40, 41, 46]
[38, 38, 46]
[91, 145, 191]
[135, 125, 30]
[174, 138, 16]
[145, 139, 25]
[50, 51, 46]
[191, 140, 0]
[193, 163, 15]
[146, 70, 21]
[85, 57, 18]
[208, 212, 189]
[196, 111, 28]
[146, 153, 122]
[89, 80, 23]
[160, 98, 11]
[108, 105, 62]
[112, 155, 174]
[209, 168, 42]
[75, 118, 160]
[172, 148, 12]
[119, 111, 10]
[41, 45, 8]
[19, 27, 14]
[54, 83, 123]
[79, 95, 95]
[3, 34, 29]
[43, 71, 83]
[36, 53, 35]
[42, 55, 46]
[202, 174, 5]
[199, 169, 39]
[45, 53, 56]
[15, 16, 21]
[100, 146, 195]
[131, 128, 13]
[177, 139, 0]
[171, 150, 25]
[71, 72, 67]
[192, 150, 2]
[179, 140, 35]
[83, 59, 11]
[183, 194, 154]
[195, 203, 188]
[189, 108, 17]
[200, 115, 32]
[87, 60, 13]
[89, 93, 60]
[162, 184, 182]
[145, 177, 188]
[183, 155, 32]
[77, 68, 11]
[125, 101, 1]
[88, 87, 57]
[117, 110, 40]
[60, 27, 36]
[116, 104, 44]
[90, 108, 154]
[114, 111, 40]
[97, 101, 51]
[83, 97, 72]
[69, 84, 79]
[190, 162, 0]
[131, 62, 7]
[39, 40, 45]
[33, 38, 44]
[46, 83, 138]
[140, 128, 18]
[204, 170, 34]
[103, 95, 0]
[24, 25, 20]
[184, 155, 29]
[131, 99, 38]
[49, 16, 0]
[29, 20, 11]
[212, 212, 188]
[63, 59, 58]
[184, 101, 9]
[108, 54, 42]
[138, 44, 6]
[131, 94, 76]
[125, 109, 84]
[190, 155, 25]
[102, 123, 114]
[155, 144, 55]
[157, 115, 17]
[33, 32, 28]
[126, 84, 0]
[73, 18, 13]
[113, 103, 6]
[76, 108, 157]
[159, 90, 25]
[10, 21, 7]
[82, 108, 143]
[164, 121, 52]
[229, 210, 107]
[66, 27, 20]
[55, 54, 59]
[22, 62, 124]
[137, 126, 11]
[143, 133, 22]
[107, 113, 23]
[18, 7, 1]
[199, 175, 4]
[144, 96, 22]
[115, 95, 32]
[145, 138, 83]
[196, 194, 181]
[47, 50, 29]
[13, 18, 21]
[93, 29, 4]
[23, 23, 21]
[170, 117, 39]
[179, 106, 14]
[179, 135, 30]
[35, 54, 68]
[101, 105, 31]
[124, 103, 72]
[34, 38, 37]
[52, 54, 41]
[123, 76, 8]
[80, 20, 10]
[44, 47, 30]
[112, 101, 73]
[70, 79, 76]
[86, 108, 85]
[89, 54, 0]
[206, 185, 42]
[74, 41, 36]
[41, 39, 50]
[38, 72, 135]
[89, 86, 0]
[84, 86, 0]
[124, 131, 53]
[1, 7, 7]
[194, 170, 38]
[231, 224, 205]
[180, 201, 192]
[129, 104, 40]
[182, 197, 192]
[10, 13, 4]
[19, 24, 18]
[63, 65, 18]
[81, 73, 71]
[157, 171, 174]
[202, 199, 158]
[229, 215, 202]
[55, 80, 100]
[183, 123, 13]
[138, 157, 164]
[104, 119, 174]
[92, 83, 4]
[56, 65, 104]
[95, 89, 57]
[73, 66, 99]
[47, 9, 6]
[45, 34, 28]
[20, 28, 31]
[216, 188, 63]
[224, 202, 80]
[53, 29, 27]
[38, 36, 37]
[32, 63, 120]
[81, 87, 13]
[111, 118, 14]
[138, 140, 30]
[14, 17, 22]
[45, 57, 21]
[161, 117, 52]
[180, 212, 197]
[39, 32, 16]
[166, 97, 20]
[22, 2, 0]
[3, 0, 0]
[65, 53, 39]
[45, 39, 15]
[152, 59, 25]
[191, 201, 190]
[183, 194, 178]
[64, 87, 103]
[134, 112, 29]
[66, 118, 165]
[114, 103, 0]
[64, 63, 103]
[51, 57, 23]
[47, 46, 54]
[62, 85, 126]
[44, 54, 30]
[63, 91, 141]
[111, 113, 112]
[197, 183, 32]
[221, 204, 100]
[36, 21, 16]
[34, 37, 42]
[41, 79, 142]
[71, 82, 16]
[117, 122, 32]
[134, 139, 39]
[14, 13, 18]
[48, 58, 33]
[40, 47, 3]
[151, 82, 13]
[100, 88, 28]
[56, 51, 45]
[192, 204, 190]
[62, 31, 0]
[194, 205, 197]
[71, 67, 29]
[133, 73, 36]
[138, 38, 12]
