type,note(s),duration_type,duration_quarterLength,tie,quarterLength
note,C5,quarter,1.0,,1.0
note,F5,eighth,0.5,,0.5
note,B4,half,3.0,,3.0
note,C5,quarter,1.0,,1.0
note,F5,eighth,0.5,,0.5
note,F#5,complex,2.25,,2.25
note,F5,eighth,0.75,,0.75
note,D5,eighth,0.75,,0.75
note,E5,eighth,0.75,,0.75
note,B5,half,3.0,,3.0
note,G#5,quarter,1.5,,1.5
chord,"F5,G#5",half,3.0,,3.0
chord,"G#5,B5",quarter,1.0,,1.0
note,C#6,eighth,0.5,,0.5
chord,"F5,G#5",half,3.0,,3.0
chord,"G#5,B5",quarter,1.0,,1.0
note,G#5,eighth,0.5,,0.5
note,C#6,quarter,1.0,,1.0
note,G#5,eighth,0.5,,0.5
note,E6,quarter,1.0,,1.0
note,C#6,eighth,0.5,,0.5
note,G#6,quarter,1.0,,1.0
note,E6,eighth,0.5,,0.5
note,G#6,quarter,1.5,,1.5
note,F#6,complex,2.75,,2.75
note,F#6,half,3.0,,3.0
note,A6,quarter,1.0,,1.0
note,C#7,eighth,0.5,,0.5
note,F#5,half,3.0,,3.0
note,A5,quarter,1.0,,1.0
note,C#6,eighth,0.5,,0.5
chord,"C#6,E6",eighth,0.5,,0.5
chord,"B5,E6",eighth,0.5,,0.5
chord,"A5,C#6",eighth,0.5,,0.5
chord,"G#5,B5",eighth,0.75,,0.75
chord,"F#5,A5",complex,1.25,,1.25
chord,"E5,G#5",eighth,0.5,,0.5
chord,"E5,F#5",eighth,0.5,,0.5
chord,"C#5,E5",eighth,0.5,,0.5
chord,"B4,E5",eighth,0.5,,0.5
chord,"A4,C#5",eighth,0.5,,0.5
chord,"G#4,B4",eighth,0.5,,0.5
chord,"F#4,A4",eighth,0.5,,0.5
chord,"E4,G#4",quarter,1.0,,1.0
chord,"E4,F#4",eighth,0.5,,0.5
chord,"C#4,E4",eighth,0.5,,0.5
note,C#4,complex,2.5,,2.5
note,C#4,eighth,0.5,,0.5
chord,"E4,F#4",quarter,1.0,,1.0
chord,"E4,F#4,B4",eighth,0.5,,0.5
note,C#4,complex,2.5,,2.5
note,C#4,eighth,0.5,,0.5
chord,"E4,F#4",quarter,1.0,,1.0
note,E4,eighth,0.5,,0.5
note,C#4,eighth,0.5,,0.5
chord,"G#4,C5,F5",eighth,0.5,,0.5
chord,"F#4,B4,E5",eighth,0.5,,0.5
chord,"F#4,B4",quarter,1.5,,1.5
chord,"F#4,G#4",quarter,1.5,,1.5
chord,"C#4,F#4,B4",eighth,0.5,,0.5
chord,"G#4,C5,F5",eighth,0.5,,0.5
chord,"F#4,B4,E5",eighth,0.5,,0.5
chord,"F#4,B4",quarter,1.5,,1.5
chord,"F#4,G#4",quarter,1.5,,1.5
note,E5,half,3.0,,3.0
note,F#5,quarter,1.0,,1.0
note,B5,eighth,0.5,,0.5
note,E5,half,3.0,,3.0
note,F#5,quarter,1.0,,1.0
note,B5,eighth,0.5,,0.5
note,E6,whole,6.0,,6.0
note,C#6,quarter,1.5,,1.5
note,E6,quarter,1.5,,1.5
chord,"F6,G#6",quarter,1.5,,1.5
note,F6,half,2.0,,2.0
chord,"C6,E6",eighth,0.5,,0.5
chord,"C#6,F6",eighth,0.5,,0.5
chord,"C6,E6",whole,10/3,,10/3
chord,"B5,C#6",eighth,0.5,,0.5
chord,"C6,E6",eighth,0.5,,0.5
chord,"B5,C#6",eighth,0.75,,0.75
chord,"C#6,F6",quarter,1.5,,1.5
